,Cuestionario:Tema 1 - Parte Básica (Real),Cuestionario:Tema 2 - Parte Básica (Real),Cuestionario:Tema 3 - Parte Básica (Real),Cuestionario:Tema 1 - Parte Avanzada (Real),Cuestionario:Tema 2 - Parte Avanzada (Real),Cuestionario:Tema 3 - Parte Avanzada (Real),comision
297,-,-,-,-,-,-,datos_anonimizados
298,3.0,1.8,3.0,3.75,-,4.0,datos_anonimizados
299,2.0,0.0,1.5,1.0,-,-,datos_anonimizados
300,-,-,-,-,-,-,datos_anonimizados
301,-,-,-,-,-,-,datos_anonimizados
302,-,-,-,-,-,-,datos_anonimizados
303,2.0,1.6,0.83,3.0,-,-,datos_anonimizados
304,2.0,3.0,2.5,2.08,3.5,3.0,datos_anonimizados
305,2.0,2.5,2.0,3.5,1.0,4.0,datos_anonimizados
306,2.0,3.0,2.0,4.0,1.0,0.0,datos_anonimizados
307,2.0,3.0,3.0,2.5,0.0,0.0,datos_anonimizados
308,-,-,-,-,-,-,datos_anonimizados
309,-,-,-,-,-,-,datos_anonimizados
310,1.5,1.4,2.0,-,-,1.0,datos_anonimizados
311,0.0,0.0,0.33,-,-,-,datos_anonimizados
312,1.0,3.0,2.0,-,0.0,4.0,datos_anonimizados
313,-,-,-,-,-,-,datos_anonimizados
314,-,-,-,-,-,-,datos_anonimizados
315,3.0,2.0,1.33,3.08,1.75,-,datos_anonimizados
316,0.0,0.0,0.0,-,-,-,datos_anonimizados
317,2.0,1.0,3.0,2.0,-,4.0,datos_anonimizados
318,2.0,1.0,1.0,1.5,-,-,datos_anonimizados
319,0.25,0.0,0.17,-,-,-,datos_anonimizados
320,-,-,-,-,-,-,datos_anonimizados
321,-,-,-,-,-,-,datos_anonimizados
322,2.0,2.0,2.5,2.83,1.0,2.0,datos_anonimizados
323,2.0,1.6,1.0,3.33,-,-,datos_anonimizados
324,2.0,2.0,2.0,2.33,0.75,2.0,datos_anonimizados
325,1.5,2.6,2.0,-,3.0,2.0,datos_anonimizados
326,-,-,-,-,-,-,datos_anonimizados
327,0.5,2.0,1.0,-,1.75,-,datos_anonimizados
328,3.0,3.0,3.0,3.0,3.25,3.0,datos_anonimizados
329,2.0,0.0,0.83,1.83,-,-,datos_anonimizados
330,2.0,3.0,1.5,4.0,3.0,-,datos_anonimizados
331,1.0,1.0,2.0,-,-,1.0,datos_anonimizados
332,2.0,2.0,1.0,0.75,1.0,-,datos_anonimizados
333,1.0,0.0,1.0,-,-,-,datos_anonimizados
334,0.0,0.0,0.0,-,-,-,datos_anonimizados
335,2.0,2.6,1.67,2.0,2.75,-,datos_anonimizados
336,0.0,0.0,0.67,-,-,-,datos_anonimizados
337,1.0,-,-,-,-,-,datos_anonimizados
338,-,-,-,-,-,-,datos_anonimizados
339,-,-,-,-,-,-,datos_anonimizados
340,2.0,1.0,2.83,1.75,-,2.0,datos_anonimizados
341,1.0,1.0,2.0,-,-,3.0,datos_anonimizados
342,1.0,0.0,2.0,-,-,2.0,datos_anonimizados
343,1.0,2.6,1.5,-,-,-,datos_anonimizados
344,3.0,2.0,3.0,0.0,3.75,4.0,datos_anonimizados
345,2.0,2.6,3.0,4.0,2.5,4.0,datos_anonimizados
346,2.0,2.8,3.0,3.0,3.0,3.0,datos_anonimizados
347,2.0,3.0,1.0,2.5,3.0,-,datos_anonimizados
348,-,-,-,-,-,-,datos_anonimizados
349,0.0,0.0,0.17,-,-,-,datos_anonimizados
350,0.0,-,-,-,-,-,datos_anonimizados
351,2.0,2.0,3.0,3.75,2.0,3.0,datos_anonimizados
352,2.0,2.0,1.67,3.5,3.0,-,datos_anonimizados
353,-,-,-,-,-,-,datos_anonimizados
354,0.0,0.2,2.0,-,-,0.0,datos_anonimizados
355,-,-,-,-,-,-,datos_anonimizados
356,-,-,-,-,-,-,datos_anonimizados
357,-,-,-,-,-,-,datos_anonimizados
358,3.0,3.0,3.0,4.0,2.75,3.0,datos_anonimizados
359,-,-,-,-,-,-,datos_anonimizados
360,1.25,3.0,2.0,-,1.0,3.0,datos_anonimizados
361,-,-,-,-,-,-,datos_anonimizados
362,2.5,2.5,3.0,3.75,3.0,4.0,datos_anonimizados
363,2.0,0.4,0.5,2.5,-,-,datos_anonimizados
364,-,-,-,-,-,-,datos_anonimizados
365,-,-,-,-,-,-,datos_anonimizados
366,2.0,1.5,2.0,2.83,-,2.0,datos_anonimizados
367,-,-,-,-,-,-,datos_anonimizados
368,3.0,3.0,3.0,4.0,3.25,3.0,datos_anonimizados
369,3.0,2.8,3.0,3.67,3.25,4.0,datos_anonimizados
370,2.0,1.5,3.0,4.0,-,3.0,datos_anonimizados
371,0.0,0.4,1.0,-,-,-,datos_anonimizados
